INFO] : BLE timeout event
[INFO] : BLE Event 0x400B
[INFO] : BLE Event 0x400B
[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] : BLE Event 0x3002
[INFO] : BLE Event 0x2004
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x400B
Button has been pressed 
[INFO] RSSI sampling started
[INFO] RSSI values: -56 -64 -61 
[INFO] RSSI values: -57 -61 -63 
[INFO] RSSI values: -56 -62 -63 
[INFO] RSSI values: -56 -60 -63 
[INFO] RSSI values: -56 -60 -62 
[INFO] RSSI values: -56 -62 -62 
[INFO] RSSI values: -55 -62 -63 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -55 -63 -65 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -55 -62 -67 
[INFO] RSSI values: -56 -61 -70 
[INFO] RSSI values: -55 -61 -70 
[INFO] RSSI values: -55 -61 -62 
[INFO] RSSI values: -56 -61 -62 
[INFO] RSSI values: -56 -61 -63 
[INFO] RSSI values: -56 -61 -63 
[INFO] RSSI values: -56 -61 -63 
[INFO] RSSI values: -56 -61 -64 
[INFO] RSSI values: -56 -61 -64 
[INFO] RSSI values: -56 -60 -64 
[INFO] RSSI values: -56 -60 -63 
[INFO] RSSI values: -56 -62 -63 
[INFO] RSSI values: -56 -62 -63 
[INFO] RSSI values: -56 -60 -63 
[INFO] RSSI values: -56 -60 -64 
[INFO] RSSI values: -56 -61 -64 
[INFO] RSSI values: -56 -61 -64 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -64 -64 
[INFO] RSSI values: -56 -64 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -62 -63 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -60 -64 
[INFO] RSSI values: -56 -59 -65 
[INFO] RSSI values: -56 -59 -65 
[INFO] RSSI values: -56 -60 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -60 -65 
[INFO] RSSI values: -56 -60 -65 
[INFO] RSSI values: -56 -60 -66 
[INFO] RSSI values: -56 -60 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -64 -66 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -67 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -61 -65 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -56 -61 -68 
[INFO] RSSI values: -56 -61 -67 
[INFO] RSSI values: -57 -64 -67 
[INFO] RSSI values: -56 -64 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -64 -66 
[INFO] RSSI values: -56 -64 -67 
[INFO] RSSI values: -56 -64 -66 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
