[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -66 -56 -52 
[INFO] RSSI values: -66 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -67 -56 -52 
[INFO] RSSI values: -68 -57 -52 
[INFO] RSSI values: -68 -57 -52 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -69 -56 -52 
[INFO] RSSI values: -68 -57 -52 
[INFO] RSSI values: -68 -57 -52 
[INFO] RSSI values: -68 -57 -52 
[INFO] RSSI values: -68 -57 -51 
[INFO] RSSI values: -68 -57 -51 
[INFO] RSSI values: -68 -57 -51 
[INFO] RSSI values: -67 -57 -51 
[INFO] RSSI values: -67 -57 -51 
[INFO] RSSI values: -67 -57 -51 
[INFO] RSSI values: -67 -56 -51 
[INFO] : BLE timeout event
[INFO] : BLE Event 0x400B
[INFO] : BLE Event 0x400B
[INFO] RSSI values: -67 -57 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -57 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -66 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -67 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -68 -56 -51 
[INFO] RSSI values: -69 -56 -52 
[INFO] RSSI values: -69 -56 -51 
[INFO] RSSI values: -69 -56 -51 
[INFO] RSSI values: -69 -56 -51 
[INFO] RSSI values: -69 -56 -51 
[INFO] RSSI values: -69 -56 -51 
[INFO] RSSI values: -69 -56 -51 
